year,population,co2
1960,3509731298,12000.19
1961,3558354416,12084.25
1962,3618983598,12561.91
1963,3691819150,13319.81
1964,3765106309,14041.88
1965,3839874752,14755.26
1966,3915771561,15471.62
1967,3991327989,16035.14
1968,4067680287,16808.28
1969,4148220937,17834.26
1970,4229529769,19198.56
1971,4313198731,20036.12
1972,4395713079,20969.26
1973,4477346418,22036.66
1974,4559700289,22207.26
1975,4640357209,22512.74
1976,4719685677,23634.65
1977,4798870211,24356.41
1978,4879337546,25244.74
1979,4961788782,25825.96
1980,5045188368,26018.52
1981,5130550836,25414.36
1982,5218801859,25454.64
1983,5307749782,25746.7
1984,5397089418,26363.63
1985,5488005393,27637.42
1986,5581220884,27944.39
1987,5676518190,28986.24
1988,5772535824,30017.55
1989,5868111033,30181.12
1990,5970060799,30762.34
1991,6063213700,30354.1
1992,6151808971,28754.82
1993,6240396455,28693.38
1994,6327642333,28145.32
1995,6416126041,28555.48
1996,6501697787,29125.64
1997,6586753915,28937.25
1998,6670855279,28743.07
1999,6753266844,29112.74
2000,6834498174,29823.58
2001,6915119207,30166.82
2002,6995247641,30741.73
2003,7075472004,32107.88
2004,7156396396,33341.9
2005,7237811510,34355.79
2006,7320313212,35528.51
2007,7403906121,36428.55
2008,7489522295,37283.95
2009,7575652852,36571.83
2010,7661465990,38477.12
2011,7746613856,39817
2012,7830905733,40416.98
2013,7919688143,40346.2
2014,8009334035,40703.18
2015,8098832484,40737.27
2016,8188594105,40877.72
2017,8277209231,41471.59
